player_id,league
andergr01,NBA
anderja01,NBA
anderja01,NBA
anderja01,NBA
anderja01,NBA
anderja01,NBA
anderja01,NBA
anderju01,NBA
anderju01,NBA
anderju01,NBA
anderke01,NBA
anderke01,NBA
anderke01,NBA
anderke01,NBA
anderke01,NBA
anderke01,NBA
anderke01,NBA
anderke01,NBA
anderke01,NBA
anderke01,NBA
anderke01,NBA
anderke01,NBA
anderke01,NBA
anderke01,NBA
anderky01,NBA
anderky01,NBA
anderky01,NBA
anderky01,NBA
anderni01,NBA
anderni01,NBA
anderni01,NBA
anderni01,NBA
anderni01,NBA
anderni01,NBA
anderni01,NBA
anderni01,NBA
anderni01,NBA
anderni01,NBA
anderni01,NBA
anderni01,NBA
anderni01,NBA
anderri01,NBA
anderri01,NBA
anderro01,NBA
anderro01,NBA
anderro01,NBA
anderro01,NBA
anderro01,NBA
anderro01,NBA
anderro01,NBA
anderry01,NBA
anderry01,NBA
anderry01,NBA
anderry01,NBA
anderry01,NBA
anderry01,NBA
anderry01,NBA
anderry01,NBA
anderry01,NBA
anderry01,NBA
andersh01,NBA
andersh01,NBA
andersh01,NBA
andersh01,NBA
andersh01,NBA
andersh01,NBA
andersh01,NBA
andersh01,NBA
andersh01,NBA
andersh01,NBA
andersh01,NBA
andersh01,NBA
andersh01,NBA
anderwi01,NBA
anderwi01,NBA
anderwi01,NBA
anderwi01,NBA
anderwi01,NBA
anderwi01,NBA
anderwi01,NBA
anderwi01,NBA
andrima01,NBA
andrima01,NBA
anigbik01,NBA
anslemi01,NBA
anstech01,NBA
anstech01,NBA
anstech01,NBA
antetgi01,NBA
antetgi01,NBA
antetgi01,NBA
antetgi01,NBA
antetgi01,NBA
antetth01,NBA
anthoca01,NBA
anthoca01,NBA
anthoca01,NBA
anthoca01,NBA
anthoca01,NBA
anthoca01,NBA
anthoca01,NBA
anthoca01,NBA
anthoca01,NBA
anthoca01,NBA
anthoca01,NBA
anthoca01,NBA
anthoca01,NBA
anthoca01,NBA
anthoca01,NBA
anthogr01,NBA
anthogr01,NBA
anthogr01,NBA
anthogr01,NBA
anthogr01,NBA
anthogr01,NBA
anthogr01,NBA
anthogr01,NBA
anthogr01,NBA
anthogr01,NBA
anthogr01,NBA
anthogr01,NBA
anthojo01,NBA
anthojo01,NBA
anthojo01,NBA
anthojo01,NBA
anthojo01,NBA
anthojo01,NBA
anthojo01,NBA
anthojo01,NBA
anthojo01,NBA
anthojo01,NBA
anticpe01,NBA
anunoog01,NBA
applike01,NBA
araujra01,NBA
araujra01,NBA
araujra01,NBA
archiro01,NBA
archiro01,NBA
arenagi01,NBA
arenagi01,NBA
arenagi01,NBA
arenagi01,NBA
arenagi01,NBA
arenagi01,NBA
arenagi01,NBA
arenagi01,NBA
arenagi01,NBA
arenagi01,NBA
arenagi01,NBA
arenagi01,NBA
arizatr01,NBA
