,league
532,NBA
533,NBA
534,NBA
535,NBA
536,NBA
537,NBA
538,NBA
539,NBA
540,NBA
541,NBA
542,NBA
543,NBA
544,NBA
545,NBA
546,NBA
547,NBA
548,NBA
549,NBA
550,NBA
551,NBA
552,NBA
553,NBA
554,NBA
555,NBA
556,NBA
557,NBA
558,NBA
559,NBA
560,NBA
561,NBA
562,NBA
563,NBA
564,NBA
565,NBA
566,NBA
567,NBA
568,NBA
569,NBA
570,NBA
571,NBA
572,NBA
573,NBA
574,NBA
575,NBA
576,NBA
577,NBA
578,NBA
579,NBA
580,NBA
581,NBA
582,NBA
583,NBA
584,NBA
585,NBA
586,NBA
587,NBA
588,NBA
589,NBA
590,NBA
591,NBA
592,NBA
593,NBA
594,NBA
595,NBA
596,NBA
597,NBA
598,NBA
599,NBA
600,NBA
601,NBA
602,NBA
603,NBA
604,NBA
605,NBA
606,NBA
607,NBA
608,NBA
609,NBA
610,NBA
611,NBA
612,NBA
613,NBA
614,NBA
615,NBA
616,NBA
617,NBA
618,NBA
619,NBA
620,NBA
621,NBA
622,NBA
623,NBA
624,NBA
625,NBA
626,NBA
627,NBA
628,NBA
629,NBA
630,NBA
631,NBA
632,NBA
633,NBA
634,NBA
635,NBA
636,NBA
637,NBA
638,NBA
639,NBA
640,NBA
641,NBA
642,NBA
643,NBA
644,NBA
645,NBA
646,NBA
647,NBA
648,NBA
649,NBA
650,NBA
651,NBA
652,NBA
653,NBA
654,NBA
655,NBA
656,NBA
657,NBA
658,NBA
659,NBA
660,NBA
661,NBA
662,NBA
663,NBA
664,NBA
665,NBA
666,NBA
667,NBA
668,NBA
669,NBA
670,NBA
671,NBA
672,NBA
673,NBA
674,NBA
675,NBA
676,NBA
677,NBA
678,NBA
679,NBA
680,NBA
681,NBA
682,NBA
683,NBA
684,NBA
685,NBA
686,NBA
687,NBA
688,NBA
689,NBA
690,NBA
691,NBA
692,NBA
693,NBA
694,NBA
695,NBA
696,NBA
697,NBA
698,NBA
699,NBA
700,NBA
701,NBA
702,NBA
703,NBA
704,NBA
705,NBA
706,NBA
707,NBA
708,NBA
709,NBA
710,NBA
711,NBA
712,NBA
713,NBA
714,NBA
715,NBA
716,NBA
717,NBA
718,NBA
719,NBA
720,NBA
721,NBA
722,NBA
723,NBA
724,NBA
725,NBA
726,NBA
727,NBA
728,NBA
729,NBA
730,NBA
731,NBA
732,NBA
733,NBA
734,NBA
735,NBA
736,NBA
737,NBA
738,NBA
739,NBA
740,NBA
741,NBA
742,NBA
743,NBA
744,NBA
745,NBA
746,NBA
747,NBA
748,NBA
749,NBA
750,NBA
751,NBA
752,NBA
753,NBA
754,NBA
755,NBA
756,NBA
757,NBA
758,NBA
759,NBA
760,NBA
761,NBA
762,NBA
763,NBA
764,NBA
765,NBA
766,NBA
767,NBA
768,NBA
769,NBA
770,NBA
771,NBA
772,NBA
773,NBA
774,NBA
775,NBA
776,NBA
777,NBA
778,NBA
779,NBA
780,NBA
781,NBA
782,NBA
783,NBA
784,NBA
785,NBA
786,NBA
787,NBA
788,NBA
789,NBA
790,NBA
791,NBA
792,NBA
793,NBA
794,NBA
795,NBA
796,NBA
797,NBA
798,NBA
799,NBA
800,NBA
801,NBA
802,NBA
803,NBA
804,NBA
805,NBA
806,NBA
807,NBA
808,NBA
809,NBA
810,NBA
811,NBA
812,NBA
813,NBA
814,NBA
815,NBA
816,NBA
817,NBA
818,NBA
819,NBA
820,NBA
821,NBA
822,NBA
823,NBA
824,NBA
825,NBA
826,NBA
827,NBA
828,NBA
829,NBA
830,NBA
831,NBA
832,NBA
833,NBA
834,NBA
835,NBA
836,NBA
837,NBA
838,NBA
839,NBA
840,NBA
841,NBA
842,NBA
843,NBA
844,NBA
845,NBA
846,NBA
847,NBA
848,NBA
849,NBA
850,NBA
851,NBA
852,NBA
853,NBA
854,NBA
855,NBA
856,NBA
857,NBA
858,NBA
859,NBA
860,NBA
861,NBA
862,NBA
863,NBA
864,NBA
865,NBA
866,NBA
867,NBA
868,NBA
869,NBA
870,NBA
871,NBA
872,NBA
873,NBA
